Pathway identifier,Pathway name,#Entities found,#Entities total,#Interactors found,#Interactors total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Submitted entities hit interactor,Interacts with,Found reaction identifiers
R-HSA-9033500,"TYSND1 cleaves peroxisomal proteins",3,8,3,16,5.768260148532699E-4,0.7294646102520763,0.9991872308877977,7,7,6.012196169372155E-4,9606,Homo sapiens,"DHB4_HUMAN;NLTP_HUMAN;ADAS_HUMAN","P22307;P51659;O00116",CATA_HUMAN;CAV1_HUMAN;DX39B_HUMAN,O00116;P22307;Q15067;P51659;Q2T9J0;P09110,"R-HSA-9033529;R-HSA-9033515;R-HSA-9033530;R-HSA-9033520;R-HSA-9033490;R-HSA-9033506;R-HSA-9033524"
R-HSA-163765,"ChREBP activates metabolic gene expression",3,8,3,16,5.768260148532699E-4,0.7294646102520763,0.9991872308877977,3,6,5.15331100231899E-4,9606,Homo sapiens,"ACLY_HUMAN;ACACA_HUMAN;FAS_HUMAN","P53396;P49327;Q13085",2ABA_HUMAN;2AAA_HUMAN;ILK_HUMAN,P49327;P53396,"R-HSA-163733;R-HSA-163770;R-HSA-163743"
R-HSA-77288,"mitochondrial fatty acid beta-oxidation of unsaturated fatty acids",3,21,0,3,0.0015141682889898333,0.7294646102520763,0.9991872308877977,3,6,5.15331100231899E-4,9606,Homo sapiens,"DECR_HUMAN;ECHB_HUMAN;ECHA_HUMAN","",,,"R-HSA-109339;R-HSA-109343;R-HSA-109342"
R-HSA-212300,"PRC2 methylates histones and DNA",6,44,0,2,0.0031725430816929843,0.7317926552128303,0.9991872308877977,4,4,3.43554066821266E-4,9606,Homo sapiens,"RBBP7_HUMAN;RBBP4_HUMAN;H2A2C_HUMAN;H2AV_HUMAN;DNMT1_HUMAN;H2B2E_HUMAN","",,,"R-HSA-212263;R-HSA-212222;R-HSA-212269;R-HSA-212252"
R-HSA-182218,"Nef Mediated CD8 Down-regulation",2,8,2,9,5.768260148532699E-4,0.7485040306266051,0.9991872308877977,3,3,2.576655501159495E-4,9606,Homo sapiens,"AP2A1_HUMAN;AP2B1_HUMAN","P63010;O95782",EXOC4_HUMAN;NMT1_HUMAN,P04601,"R-HSA-182198;R-HSA-182186;R-HSA-182171"
R-HSA-5339717,"Misspliced LRP5 mutants have enhanced beta-catenin-dependent signaling",1,6,0,3,4.3261951113995244E-4,0.7585555497889154,0.9991872308877977,1,1,8.58885167053165E-5,9606,Homo sapiens,"DKK1_HUMAN","",,,"R-HSA-5339711"
R-HSA-3359469,"Defective MTR causes methylmalonic aciduria and homocystinuria type cblG",1,9,0,0,6.489292667099286E-4,0.7585555497889154,0.9991872308877977,2,2,1.71777033410633E-4,9606,Homo sapiens,"METH_HUMAN","",,,"R-HSA-3321918;R-HSA-3322140"
R-HSA-1483101,"Synthesis of PS",0,8,1,1,5.768260148532699E-4,0.7585555497889154,0.9991872308877977,2,2,1.71777033410633E-4,9606,Homo sapiens,"","",STOM_HUMAN,P48651;Q9BVG9,"R-HSA-1483186;R-HSA-1483089"
R-HSA-75064,"mRNA Editing: A to I Conversion",1,4,1,5,2.8841300742663494E-4,0.7585555497889154,0.9991872308877977,3,6,5.15331100231899E-4,9606,Homo sapiens,"DSRAD_HUMAN","P55265",RENT1_HUMAN,P55265,"R-HSA-75090;R-HSA-111237;R-HSA-77614"
R-HSA-427589,"Type II Na+/Pi cotransporters",0,6,1,3,4.3261951113995244E-4,0.7585555497889154,0.9991872308877977,1,2,1.71777033410633E-4,9606,Homo sapiens,"","",GPX8_HUMAN,Q8N130,"R-HSA-427645"
R-HSA-5653890,"Lactose synthesis",1,8,0,1,5.768260148532699E-4,0.7585555497889154,0.9991872308877977,1,3,2.576655501159495E-4,9606,Homo sapiens,"GTR1_HUMAN","",,,"R-HSA-5653873"
R-HSA-9025106,"Biosynthesis of DPAn-6 SPMs",0,8,1,1,5.768260148532699E-4,0.7585555497889154,0.9991872308877977,1,3,2.576655501159495E-4,9606,Homo sapiens,"","",PEBP1_HUMAN,P16050,"R-HSA-9025152"
R-HSA-5660489,"MTF1 activates gene expression",1,6,0,3,4.3261951113995244E-4,0.7585555497889154,0.9991872308877977,1,4,3.43554066821266E-4,9606,Homo sapiens,"CSRP1_HUMAN","",,,"R-HSA-5660503"
R-HSA-426486,"Small interfering RNA (siRNA) biogenesis",1,9,0,0,6.489292667099286E-4,0.7585555497889154,0.9991872308877977,1,5,4.294425835265825E-4,9606,Homo sapiens,"TSNAX_HUMAN","",,,"R-HSA-9023909"
R-HSA-73893,"DNA Damage Bypass",22,58,10,110,0.004181988607686206,0.7599161327320768,0.9991872308877977,33,34,0.002920209567980761,9606,Homo sapiens,"DPOE4_HUMAN;NPL4_HUMAN;RFC5_HUMAN;DPOE3_HUMAN;RFC1_HUMAN;RFA1_HUMAN;RFA2_HUMAN;TRI25_HUMAN;RBX1_HUMAN;RFC2_HUMAN;ISG15_HUMAN;UBP10_HUMAN;RFC3_HUMAN;PCNA_HUMAN;DPOD1_HUMAN;DDB1_HUMAN;TERA_HUMAN;RFA3_HUMAN;RS27A_HUMAN;UFD1_HUMAN;RFC4_HUMAN;DPOD3_HUMAN","Q8TAT6;P27694;Q14258;P15927;P40938;P40937;P28340;P35244;Q9NR33;P12004;P35249;P35250;Q92890;P35251;P05161;P62877;Q15054;Q16531;P62979;P55072;Q14694;Q9NRF9",PCNA_HUMAN;FHL2_HUMAN;VRK1_HUMAN;RACK1_HUMAN;IDH3A_HUMAN;IMA5_HUMAN;YBOX1_HUMAN;ISG15_HUMAN;FLNB_HUMAN;ARF4_HUMAN,Q9UBZ9;16761;P41226;O94782;Q15004;P05161;Q14694;Q96PM5;15422,"R-HSA-5653780;R-HSA-5655892;R-HSA-5656148;R-HSA-5653840;R-HSA-5656158;R-HSA-5655965;R-HSA-5653786;R-HSA-5655835;R-HSA-5651992;R-HSA-5655193;R-HSA-5653766;R-HSA-5655170;R-HSA-5653838;R-HSA-5654989;R-HSA-5653770;R-HSA-5654986;R-HSA-5654985;R-HSA-5652151;R-HSA-110307;R-HSA-110308;R-HSA-110311;R-HSA-5653756;R-HSA-5653754;R-HSA-110317;R-HSA-110316;R-HSA-5655483;R-HSA-110319;R-HSA-5655481;R-HSA-5655142;R-HSA-5652005;R-HSA-5655466;R-HSA-5656105;R-HSA-5652009"
R-HSA-73884,"Base Excision Repair",18,62,5,72,0.0044704016151128415,0.7633994953527306,0.9991872308877977,41,87,0.007472300953362535,9606,Homo sapiens,"DPOE4_HUMAN;XRCC1_HUMAN;PARP1_HUMAN;RFC5_HUMAN;DPOE3_HUMAN;RFC1_HUMAN;RFA1_HUMAN;RFA2_HUMAN;DNLI1_HUMAN;RFC2_HUMAN;RFC3_HUMAN;PCNA_HUMAN;DPOD1_HUMAN;RFA3_HUMAN;APEX1_HUMAN;RFC4_HUMAN;DPOD3_HUMAN;FEN1_HUMAN","P27694;P27695;P15927;P40938;P40937;P28340;P39748;P35244;Q9NR33;P12004;P35249;P18887;P35250;P18858;P35251;Q15054;P09874;Q9NRF9",SNX2_HUMAN;TPP2_HUMAN;XRCC1_HUMAN;PCNA_HUMAN;FADD_HUMAN,Q96T60;P06746;P39748;O95243,"R-HSA-5651792;R-HSA-5649873;R-HSA-73931;R-HSA-5651805;R-HSA-110349;R-HSA-73932;R-HSA-5651739;R-HSA-5649883;R-HSA-110351;R-HSA-110350;R-HSA-5649734;R-HSA-5651782;R-HSA-110353;R-HSA-110352;R-HSA-110355;R-HSA-110354;R-HSA-111253;R-HSA-110356;R-HSA-5649856;R-HSA-110359;R-HSA-110360;R-HSA-110363;R-HSA-110171;R-HSA-5651789;R-HSA-110364;R-HSA-5651723;R-HSA-110172;R-HSA-110368;R-HSA-110371;R-HSA-5651828;R-HSA-110375;R-HSA-5649726;R-HSA-5649854;R-HSA-110376;R-HSA-5649724;R-HSA-5651773;R-HSA-5649723;R-HSA-110380;R-HSA-5651809;R-HSA-5649708;R-HSA-5649705"
R-HSA-110313,"Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template",20,48,9,107,0.0034609560891196195,0.7662907457054543,0.9991872308877977,27,28,0.002404878467748862,9606,Homo sapiens,"DPOE4_HUMAN;NPL4_HUMAN;RFC5_HUMAN;DPOE3_HUMAN;RFC1_HUMAN;RFA1_HUMAN;RFA2_HUMAN;TRI25_HUMAN;RFC2_HUMAN;ISG15_HUMAN;UBP10_HUMAN;RFC3_HUMAN;PCNA_HUMAN;DPOD1_HUMAN;TERA_HUMAN;RFA3_HUMAN;RS27A_HUMAN;UFD1_HUMAN;RFC4_HUMAN;DPOD3_HUMAN","Q8TAT6;P27694;Q14258;P15927;P40938;P40937;P28340;P35244;Q9NR33;P12004;P35249;P35250;Q92890;P35251;P05161;Q15054;P62979;P55072;Q14694;Q9NRF9",PCNA_HUMAN;FHL2_HUMAN;VRK1_HUMAN;RACK1_HUMAN;IDH3A_HUMAN;YBOX1_HUMAN;ISG15_HUMAN;FLNB_HUMAN;ARF4_HUMAN,Q9UBZ9;16761;P41226;Q15004;P05161;Q14694;Q96PM5;15422,"R-HSA-5653780;R-HSA-5655892;R-HSA-5656148;R-HSA-5653840;R-HSA-5656158;R-HSA-5655965;R-HSA-5653786;R-HSA-5655835;R-HSA-5655193;R-HSA-5653766;R-HSA-5655170;R-HSA-5653838;R-HSA-5654989;R-HSA-5653770;R-HSA-5654986;R-HSA-5654985;R-HSA-5652151;R-HSA-110307;R-HSA-110308;R-HSA-110311;R-HSA-5653756;R-HSA-5653754;R-HSA-110317;R-HSA-110316;R-HSA-110319;R-HSA-5655142;R-HSA-5656105"
R-HSA-69580,"p53-Dependent G1/S DNA damage checkpoint",34,70,29,184,0.005047227629966112,0.7672624220901179,0.9991872308877977,17,22,0.001889547367516963,9606,Homo sapiens,"PSMD4_HUMAN;PRS7_HUMAN;PSME2_HUMAN;PSA3_HUMAN;PSME4_HUMAN;PSB3_HUMAN;PRS4_HUMAN;PSD12_HUMAN;PSB5_HUMAN;PSA5_HUMAN;PSMD6_HUMAN;PRS10_HUMAN;PSD11_HUMAN;PSMD1_HUMAN;PSME1_HUMAN;PSME3_HUMAN;PSMD3_HUMAN;PSB2_HUMAN;PSB7_HUMAN;CDK2_HUMAN;PRS6B_HUMAN;PSA4_HUMAN;PSB4_HUMAN;PRS8_HUMAN;PSDE_HUMAN;PSMD7_HUMAN;PSD13_HUMAN;RS27A_HUMAN;PSMD5_HUMAN;PSMD2_HUMAN;PSB6_HUMAN;PSA1_HUMAN;PSB1_HUMAN;PSA6_HUMAN","P28066;Q06323;P51665;O00487;P35998;P62333;P20618;P62195;P25789;P25788;P61289;P62979;Q13200;P25786;Q14997;Q15008;O43242;Q9UL46;P55036;O00231;Q9UNM6;P62191;P28074;Q99460;P28072;O00232;P28070;Q99436;P24941;P49721;Q16401;P49720;P60900;P43686",EF1A1_HUMAN;PRS7_HUMAN;VRK1_HUMAN;IDH3A_HUMAN;2A5E_HUMAN;PCNA_HUMAN;RL11_HUMAN;WDR5_HUMAN;RS20_HUMAN;CDK1_HUMAN;KC1A_HUMAN;PSME3_HUMAN;RL5_HUMAN;XRCC1_HUMAN;NUCL_HUMAN;RL23_HUMAN;CDK4_HUMAN;RS3_HUMAN;CDK2_HUMAN;NPM_HUMAN;1433S_HUMAN;OTUB1_HUMAN;TERA_HUMAN;RS27_HUMAN;AATF_HUMAN;RS27L_HUMAN;RS7_HUMAN;IMA1_HUMAN;HNRPK_HUMAN,16761;Q13315;P38936;O96017;Q9BVI0;Q8NHY2;Q00987;15422,"R-HSA-349444;R-HSA-5633460;R-HSA-6804741;R-HSA-264418;R-HSA-6804879;R-HSA-349455;R-HSA-264458;R-HSA-6804724;R-HSA-6803411;R-HSA-69685;R-HSA-349426;R-HSA-264435;R-HSA-264444;R-HSA-69562;R-HSA-187934;R-HSA-6804955;R-HSA-5693609"
R-HSA-69563,"p53-Dependent G1 DNA Damage Response",34,70,29,184,0.005047227629966112,0.7672624220901179,0.9991872308877977,17,22,0.001889547367516963,9606,Homo sapiens,"PSMD4_HUMAN;PRS7_HUMAN;PSME2_HUMAN;PSA3_HUMAN;PSME4_HUMAN;PSB3_HUMAN;PRS4_HUMAN;PSD12_HUMAN;PSB5_HUMAN;PSA5_HUMAN;PSMD6_HUMAN;PRS10_HUMAN;PSD11_HUMAN;PSMD1_HUMAN;PSME1_HUMAN;PSME3_HUMAN;PSMD3_HUMAN;PSB2_HUMAN;PSB7_HUMAN;CDK2_HUMAN;PRS6B_HUMAN;PSA4_HUMAN;PSB4_HUMAN;PRS8_HUMAN;PSDE_HUMAN;PSMD7_HUMAN;PSD13_HUMAN;RS27A_HUMAN;PSMD5_HUMAN;PSMD2_HUMAN;PSB6_HUMAN;PSA1_HUMAN;PSB1_HUMAN;PSA6_HUMAN","P28066;Q06323;P51665;O00487;P35998;P62333;P20618;P62195;P25789;P25788;P61289;P62979;Q13200;P25786;Q14997;Q15008;O43242;Q9UL46;P55036;O00231;Q9UNM6;P62191;P28074;Q99460;P28072;O00232;P28070;Q99436;P24941;P49721;Q16401;P49720;P60900;P43686",EF1A1_HUMAN;PRS7_HUMAN;VRK1_HUMAN;IDH3A_HUMAN;2A5E_HUMAN;PCNA_HUMAN;RL11_HUMAN;WDR5_HUMAN;RS20_HUMAN;CDK1_HUMAN;KC1A_HUMAN;PSME3_HUMAN;RL5_HUMAN;XRCC1_HUMAN;NUCL_HUMAN;RL23_HUMAN;CDK4_HUMAN;RS3_HUMAN;CDK2_HUMAN;NPM_HUMAN;1433S_HUMAN;OTUB1_HUMAN;TERA_HUMAN;RS27_HUMAN;AATF_HUMAN;RS27L_HUMAN;RS7_HUMAN;IMA1_HUMAN;HNRPK_HUMAN,16761;Q13315;P38936;O96017;Q9BVI0;Q8NHY2;Q00987;15422,"R-HSA-349444;R-HSA-5633460;R-HSA-6804741;R-HSA-264418;R-HSA-6804879;R-HSA-349455;R-HSA-264458;R-HSA-6804724;R-HSA-6803411;R-HSA-69685;R-HSA-349426;R-HSA-264435;R-HSA-264444;R-HSA-69562;R-HSA-187934;R-HSA-6804955;R-HSA-5693609"
R-HSA-3371568,"Attenuation phase",6,47,0,1,0.0033888528372629607,0.767279119875548,0.9991872308877977,4,5,4.294425835265825E-4,9606,Homo sapiens,"FKBP4_HUMAN;HS90B_HUMAN;TEBP_HUMAN;HS90A_HUMAN;DNJB1_HUMAN;HSP7C_HUMAN","",,,"R-HSA-3371554;R-HSA-5324617;R-HSA-5082369;R-HSA-5082384"
R-HSA-71403,"Citric acid cycle (TCA cycle)",14,50,7,58,0.0036051625928329367,0.7705138985366798,0.9991872308877977,14,17,0.0014601047839903805,9606,Homo sapiens,"IDH3B_HUMAN;ODO2_HUMAN;FAHD1_HUMAN;ACON_HUMAN;DLDH_HUMAN;ODO1_HUMAN;SUCA_HUMAN;IDH3A_HUMAN;SUCB2_HUMAN;IDHP_HUMAN;SUCB1_HUMAN;SDHA_HUMAN;MDHM_HUMAN;FUMH_HUMAN","P07954;P53597;P36957;P40926;P50213;O43837;Q96I99;Q9P2R7;Q02218;Q99798;P31040;P09622;P48735;Q6P587",RAB1A_HUMAN;RAN_HUMAN;RCC1_HUMAN;RAC1_HUMAN;CDC42_HUMAN;VRK1_HUMAN;IDH3A_HUMAN,16761;17552;15996;15422,"R-HSA-70979;R-HSA-9012268;R-HSA-71783;R-HSA-70982;R-HSA-71401;R-HSA-450984;R-HSA-70994;R-HSA-70997;R-HSA-70967;R-HSA-450975;R-HSA-9012016;R-HSA-70971;R-HSA-71775;R-HSA-451033"
R-HSA-2465910,"MASTL Facilitates Mitotic Progression",5,12,2,30,8.652390222799049E-4,0.7735333851652169,0.9991872308877977,4,4,3.43554066821266E-4,9606,Homo sapiens,"ENSA_HUMAN;2AAB_HUMAN;PP2AA_HUMAN;2AAA_HUMAN;CDK1_HUMAN","P67775;O43768;P06493;P30153;P30154",VRK1_HUMAN;IDH3A_HUMAN,16761;15422,"R-HSA-2430533;R-HSA-2430535;R-HSA-2430552;R-HSA-2168079"
R-HSA-5368287,"Mitochondrial translation",25,102,7,81,0.007354531689379191,0.7743475969228755,0.9991872308877977,16,17,0.0014601047839903805,9606,Homo sapiens,"RM09_HUMAN;RM32_HUMAN;RM19_HUMAN;RM37_HUMAN;RT35_HUMAN;RT18B_HUMAN;RM02_HUMAN;RM54_HUMAN;RT30_HUMAN;RM49_HUMAN;RM44_HUMAN;RM03_HUMAN;EFTU_HUMAN;RM38_HUMAN;RM41_HUMAN;RT34_HUMAN;RT29_HUMAN;RM11_HUMAN;RT09_HUMAN;RM21_HUMAN;EFTS_HUMAN;RRFM_HUMAN;RT27_HUMAN;EFGM_HUMAN;RM50_HUMAN","Q96DV4;Q96E11;Q7Z2W9;Q8IXM3;Q5T653;Q9BYC8;Q9BZE1;Q92552;Q9H9J2;P43897;Q9Y676;Q9NP92;P51398;P49411;Q13405;Q8N5N7;Q9Y3B7;Q9BYD2;Q6P161;P82673;Q96RP9;P09001;P82930;P49406;P82933",SNX2_HUMAN;ATRAP_HUMAN;RAB1A_HUMAN;RAN_HUMAN;RCC1_HUMAN;RAC1_HUMAN;CDC42_HUMAN,17552;Q9H2K0;15996;Q96E11,"R-HSA-5389842;R-HSA-5419281;R-HSA-5368279;R-HSA-5389845;R-HSA-5389848;R-HSA-5389849;R-HSA-5419261;R-HSA-5419264;R-HSA-5389857;R-HSA-5419271;R-HSA-5419268;R-HSA-5419269;R-HSA-5419273;R-HSA-5389839;R-HSA-5419279;R-HSA-5419277"
R-HSA-68616,"Assembly of the ORC complex at the origin of replication",2,6,3,18,4.3261951113995244E-4,0.77604900966389,0.9991872308877977,5,5,4.294425835265825E-4,9606,Homo sapiens,"ORC2_HUMAN;ORC3_HUMAN","Q13416;Q9UBD5",ORC2_HUMAN;HMGA1_HUMAN;ORC3_HUMAN,Q13415;Q9UBD5;O43929;O43913;Q9Y5N6,"R-HSA-68611;R-HSA-68595;R-HSA-68610;R-HSA-68615;R-HSA-68603"
R-HSA-202040,"G-protein activation",7,30,5,28,0.002163097555699762,0.7786977227494775,0.9991872308877977,6,6,5.15331100231899E-4,9606,Homo sapiens,"GNAI1_HUMAN;GBB4_HUMAN;GBB1_HUMAN;GNAI2_HUMAN;GBG12_HUMAN;GBB2_HUMAN;GNAI3_HUMAN","Q9UBI6;P04899;P63096;Q9HAV0;P62879;P62873;P08754",RAB1A_HUMAN;RAN_HUMAN;RCC1_HUMAN;RAC1_HUMAN;CDC42_HUMAN,17552;15996,"R-HSA-167408;R-HSA-167415;R-HSA-167429;R-HSA-167419;R-HSA-167433;R-HSA-112271"
R-HSA-209563,"Axonal growth stimulation",1,5,0,6,3.605162592832937E-4,0.7938311431490086,0.9991872308877977,2,2,1.71777033410633E-4,9606,Homo sapiens,"GDIR1_HUMAN","",,,"R-HSA-193668;R-HSA-193646"
R-HSA-162589,"Reverse Transcription of HIV RNA",1,10,0,0,7.210325185665874E-4,0.7938311431490086,0.9991872308877977,11,11,9.447736837584815E-4,9606,Homo sapiens,"PPIA_HUMAN","",,,"R-HSA-164528;R-HSA-164512;R-HSA-164513;R-HSA-164503;R-HSA-164519;R-HSA-182795;R-HSA-182859;R-HSA-164520;R-HSA-164504;R-HSA-164505;R-HSA-173769"
R-HSA-164516,"Minus-strand DNA synthesis",1,10,0,0,7.210325185665874E-4,0.7938311431490086,0.9991872308877977,7,7,6.012196169372155E-4,9606,Homo sapiens,"PPIA_HUMAN","",,,"R-HSA-164528;R-HSA-164503;R-HSA-164519;R-HSA-182795;R-HSA-182859;R-HSA-164520;R-HSA-164504"
R-HSA-1855231,"Synthesis of IPs in the ER lumen",0,9,1,1,6.489292667099286E-4,0.7938311431490086,0.9991872308877977,3,3,2.576655501159495E-4,9606,Homo sapiens,"","",UBQL2_HUMAN,Q9UNW1,"R-HSA-1855225;R-HSA-1855163;R-HSA-1855200"
R-HSA-419771,"Opsins",0,9,1,1,6.489292667099286E-4,0.7938311431490086,0.9991872308877977,1,2,1.71777033410633E-4,9606,Homo sapiens,"","",UBQL2_HUMAN,Q9UHM6,"R-HSA-419861"
R-HSA-8964041,"LDL remodeling",0,8,1,2,5.768260148532699E-4,0.7938311431490086,0.9991872308877977,1,2,1.71777033410633E-4,9606,Homo sapiens,"","",FINC_HUMAN,P08519,"R-HSA-176879"
R-HSA-1296059,"G protein gated Potassium channels",3,27,0,0,0.001946787800129786,0.7980800047962302,0.9991872308877977,1,1,8.58885167053165E-5,9606,Homo sapiens,"GBB1_HUMAN;GBG12_HUMAN;GBB2_HUMAN","",,,"R-HSA-1013020"
R-HSA-997272,"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",3,27,0,0,0.001946787800129786,0.7980800047962302,0.9991872308877977,1,1,8.58885167053165E-5,9606,Homo sapiens,"GBB1_HUMAN;GBG12_HUMAN;GBB2_HUMAN","",,,"R-HSA-1013020"
R-HSA-1296041,"Activation of G protein gated Potassium channels",3,27,0,0,0.001946787800129786,0.7980800047962302,0.9991872308877977,1,1,8.58885167053165E-5,9606,Homo sapiens,"GBB1_HUMAN;GBG12_HUMAN;GBB2_HUMAN","",,,"R-HSA-1013020"
